South Sudan,"Life expectancy at birth, total (years)",57.12,57.365
Eswatini,"Life expectancy at birth, total (years)",56.962,58.319
Cote d'Ivoire,"Life expectancy at birth, total (years)",56.567,57.017
Somalia,"Life expectancy at birth, total (years)",56.324,56.709
Nigeria,"Life expectancy at birth, total (years)",53.541,53.95
Sierra Leone,"Life expectancy at birth, total (years)",53.444,53.895
Chad,"Life expectancy at birth, total (years)",53.438,53.712
Lesotho,"Life expectancy at birth, total (years)",52.059,52.947
Central African Republic,"Life expectancy at birth, total (years)",51.593,52.24
Andorra,"Life expectancy at birth, total (years)",,
American Samoa,"Life expectancy at birth, total (years)",,
Cayman Islands,"Life expectancy at birth, total (years)",,
Dominica,"Life expectancy at birth, total (years)",,
Gibraltar,"Life expectancy at birth, total (years)",,
Greenland,"Life expectancy at birth, total (years)",,
Isle of Man,"Life expectancy at birth, total (years)",,
Not classified,"Life expectancy at birth, total (years)",,
St. Kitts and Nevis,"Life expectancy at birth, total (years)",,
Monaco,"Life expectancy at birth, total (years)",,
Marshall Islands,"Life expectancy at birth, total (years)",,
Northern Mariana Islands,"Life expectancy at birth, total (years)",,
Nauru,"Life expectancy at birth, total (years)",,
Palau,"Life expectancy at birth, total (years)",,
San Marino,"Life expectancy at birth, total (years)",,
Sint Maarten (Dutch part),"Life expectancy at birth, total (years)",,
Turks and Caicos Islands,"Life expectancy at birth, total (years)",,
Tuvalu,"Life expectancy at birth, total (years)",,
British Virgin Islands,"Life expectancy at birth, total (years)",,
